UserNames,TweetTexts,Replys,Rewtweets,Likes
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
"CowLivesMatter
@ProtesterLone
·
8h","This is the most God-awful corporate-speak I've read in a long time. That it's addressing milk producers is, frankly, deeply disturbing.
https://usdairy.com/getmedia/ff051a22-79c1-44ba-844f-cf9437e141c4/Feed-Additive-Guidance_final_web.pdf?ext=.pdf…",,2,1
